MatchNumber,RoundNumber,Group,MatchDate,KickoffUTC,DateUtc,HomeTeam,AwayTeam,Location,HomeTeamScore,AwayTeamScore,Winner
78,4,,2026-06-30,17:00,2026-06-30 17:00:00Z,2E,2I,Dallas Stadium,,,""
79,4,,2026-07-01,01:00,2026-07-01 01:00:00Z,1A,3CEFHI,Mexico City Stadium,,,""
80,4,,2026-07-01,16:00,2026-07-01 16:00:00Z,1L,3EHIJK,Atlanta Stadium,,,""
81,4,,2026-07-02,00:00,2026-07-02 00:00:00Z,1D,3BEFIJ,San Francisco Bay Area Stadium,,,""
82,4,,2026-07-01,20:00,2026-07-01 20:00:00Z,1G,3AEHIJ,Seattle Stadium,,,""
83,4,,2026-07-02,23:00,2026-07-02 23:00:00Z,2K,2L,Toronto Stadium,,,""
84,4,,2026-07-02,19:00,2026-07-02 19:00:00Z,1H,2J,Los Angeles Stadium,,,""
85,4,,2026-07-03,03:00,2026-07-03 03:00:00Z,1B,3EFGIJ,BC Place Vancouver,,,""
86,4,,2026-07-03,22:00,2026-07-03 22:00:00Z,1J,2H,Miami Stadium,,,""
87,4,,2026-07-04,01:30,2026-07-04 01:30:00Z,1K,3DEIJL,Kansas City Stadium,,,""
88,4,,2026-07-03,18:00,2026-07-03 18:00:00Z,2D,2G,Dallas Stadium,,,""
89,5,,2026-07-04,21:00,2026-07-04 21:00:00Z,To be announced,To be announced,Philadelphia Stadium,,,""
90,5,,2026-07-04,17:00,2026-07-04 17:00:00Z,To be announced,To be announced,Houston Stadium,,,""
91,5,,2026-07-05,20:00,2026-07-05 20:00:00Z,To be announced,To be announced,New York/New Jersey Stadium,,,""
92,5,,2026-07-06,00:00,2026-07-06 00:00:00Z,To be announced,To be announced,Mexico City Stadium,,,""
93,5,,2026-07-06,19:00,2026-07-06 19:00:00Z,To be announced,To be announced,Dallas Stadium,,,""
94,5,,2026-07-07,00:00,2026-07-07 00:00:00Z,To be announced,To be announced,Seattle Stadium,,,""
95,5,,2026-07-07,16:00,2026-07-07 16:00:00Z,To be announced,To be announced,Atlanta Stadium,,,""
96,5,,2026-07-07,20:00,2026-07-07 20:00:00Z,To be announced,To be announced,BC Place Vancouver,,,""
97,6,,2026-07-09,20:00,2026-07-09 20:00:00Z,To be announced,To be announced,Boston Stadium,,,""
98,6,,2026-07-10,19:00,2026-07-10 19:00:00Z,To be announced,To be announced,Los Angeles Stadium,,,""
99,6,,2026-07-11,21:00,2026-07-11 21:00:00Z,To be announced,To be announced,Miami Stadium,,,""
100,6,,2026-07-12,01:00,2026-07-12 01:00:00Z,To be announced,To be announced,Kansas City Stadium,,,""
101,7,,2026-07-14,19:00,2026-07-14 19:00:00Z,To be announced,To be announced,Dallas Stadium,,,""
102,7,,2026-07-15,19:00,2026-07-15 19:00:00Z,To be announced,To be announced,Atlanta Stadium,,,""
103,8,,2026-07-18,21:00,2026-07-18 21:00:00Z,To be announced,To be announced,Miami Stadium,,,""
104,8,,2026-07-19,19:00,2026-07-19 19:00:00Z,To be announced,To be announced,New York/New Jersey Stadium,,,""
